Mes,Ano,Canal_Ads,Investimento,Receita,ROAS_Canal,Qntd_Vendas_Ads,Qntd_Vendas_Organica
Janeiro,2025,Mercado Ads,"R$ 997,88","R$ 34.625,28","26,41",32,21
Janeiro,2025,Amazon Ads,"R$ 9,27","R$ 0,00","0,00",0,0
Janeiro,2025,Google Ads,"R$ 304,00","R$ 0,00","0,00",0,3
Janeiro,2025,Meta Ads,"R$ 0,00","R$ 0,00","0,00",0,0
Fevereiro,2025,Mercado Ads,"R$ 628,37","R$ 34.522,13","35,08",15,23
Fevereiro,2025,Amazon Ads,"R$ 8,92","R$ 0,00","0,00",0,3
Fevereiro,2025,Google Ads,"R$ 301,00","R$ 0,00","0,00",4,8
Fevereiro,2025,Meta Ads,"R$ 0,00","R$ 0,00","0,00",0,0
Março,2025,Mercado Ads,"R$ 679,41","R$ 44.080,51","31,50",15,23
Março,2025,Amazon Ads,"R$ 18,58","R$ 0,00","0,00",0,3
Março,2025,Google Ads,"R$ 300,00","R$ 0,00","0,00",3,14
Março,2025,Meta Ads,"R$ 0,00","R$ 0,00","0,00",0,0
Abril,2025,Mercado Ads,"R$ 854,34","R$ 54.953,96","29,12",39,36
Abril,2025,Amazon Ads,"R$ 13,71","R$ 0,00","0,00",0,6
Abril,2025,Google Ads,"R$ 289,00","R$ 0,00","0,00",1,3
Abril,2025,Meta Ads,"R$ 0,00","R$ 0,00","0,00",0,0
Maio,2025,Mercado Ads,"R$ 840,63","R$ 53.316,24","31,20",36,24
Maio,2025,Amazon Ads,"R$ 39,82","R$ 0,00","0,00",0,4
Maio,2025,Google Ads,"R$ 301,00","R$ 0,00","0,00",4,1
Maio,2025,Meta Ads,"R$ 0,00","R$ 0,00","0,00",0,0
Junho,2025,Mercado Ads,"R$ 1.861,63","R$ 66.269,85","24,78",48,36
Junho,2025,Amazon Ads,"R$ 49,16","R$ 0,00","0,00",0,3
Junho,2025,Google Ads,"R$ 305,00","R$ 0,00","0,00",4,6
Junho,2025,Meta Ads,"R$ 0,00","R$ 0,00","0,00",0,0
Julho,2025,Mercado Ads,"R$ 2.262,81","R$ 77.968,49","27,49",63,53
Julho,2025,Amazon Ads,"R$ 75,59","R$ 0,00","0,00",0,6
Julho,2025,Google Ads,"R$ 305,00","R$ 0,00","0,00",1,2
Julho,2025,Meta Ads,"R$ 400,00","R$ 0,00","0,00",0,0
Agosto,2025,Mercado Ads,"R$ 2.429,95","R$ 69.002,48","23,19",42,33
Agosto,2025,Amazon Ads,"R$ 29,34","R$ 0,00","0,00",0,6
Agosto,2025,Google Ads,"R$ 304,00","R$ 0,00","0,00",1,0
Agosto,2025,Meta Ads,"R$ 0,00","R$ 0,00","0,00",0,0
Setembro,2025,Mercado Ads,"R$ 2.357,86","R$ 79.966,16","25,57",53,49
Setembro,2025,Amazon Ads,"R$ 5,73","R$ 0,00","0,00",0,1
Setembro,2025,Google Ads,"R$ 296,27","R$ 0,00","0,00",0,2
Setembro,2025,Meta Ads,"R$ 0,00","R$ 0,00","0,00",0,0
Outubro,2025,Mercado Ads,"R$ 1.730,61","R$ 79.066,67","29,87",36,55
Outubro,2025,Amazon Ads,"R$ 8,62","R$ 0,00","0,00",0,6
Outubro,2025,Google Ads,"R$ 300,00","R$ 0,00","0,00",2,6
Outubro,2025,Meta Ads,"R$ 0,00","R$ 0,00","0,00",0,0
Novembro,2025,Mercado Ads,"R$ 1.437,05","R$ 60.116,44","27,83",48,23
Novembro,2025,Amazon Ads,"R$ 32,08","R$ 0,00","0,00",0,4
Novembro,2025,Google Ads,"R$ 300,34","R$ 0,00","0,00",0,5
Novembro,2025,Meta Ads,"R$ 0,00","R$ 0,00","0,00",0,0
Dezembro,2025,Mercado Ads,"R$ 1.561,23","R$ 48.817,15","28,96",42,19
Dezembro,2025,Amazon Ads,"R$ 35,91","R$ 0,00","0,00",0,4
Dezembro,2025,Google Ads,"R$ 32,98","R$ 0,00","0,00",0,0
Dezembro,2025,Meta Ads,"R$ 0,00","R$ 0,00","0,00",0,0
,,,,,,,
Janeiro,2026,Mercado Ads,"R$ 1.773,63","R$ 48.715,65","27,47",43,34
Janeiro,2026,Amazon Ads,"R$ 21,17","R$ 4.542,00","214,55",0,8
Janeiro,2026,Google Ads,"R$ 11,66","R$ 648,03","55,58",0,0
Janeiro,2026,Meta Ads,"R$ 250,00","R$ 3.636,42","14,55",0,0
Fevereiro,2026,Mercado Ads,"R$ 2.437,41","R$ 37.393,48","15,34",35,29
Fevereiro,2026,Amazon Ads,"R$ 17,47","R$ 559,00","32,00",0,1
Fevereiro,2026,Google Ads,"R$ 7,65","R$ 599,00","78,30",0,2
Fevereiro,2026,Meta Ads,"R$ 0,00","R$ 2.331,00","0,00",0,0
Março,2026,Mercado Ads,"R$ 4.344,04","R$ 65.341,02","15,04",89,38
Março,2026,Amazon Ads,"R$ 14,86","R$ 4.552,00","306,33",0,8
Março,2026,Google Ads,"R$ 11,66","R$ 648,03","55,58",0,0
Março,2026,Meta Ads,"R$ 0,00","R$ 0,00","0,00",0,0
Abril,2026,Mercado Ads,"R$ 3.084,12","R$ 33.836,00","10,97",62,30
Abril,2026,Amazon Ads,"R$ 1,20","R$ 569,00","474,17",1,0
Abril,2026,Google Ads,"R$ 33,26","R$ 1.870,13","56,23",2,12
Abril,2026,Meta Ads,"R$ 0,00","R$ 0,00","0,00",0,0
Maio,2026,Mercado Ads,"R$ 3.550,00","R$ 35.409,00","9,97",63,33
Maio,2026,Amazon Ads,"R$ 0,00","R$ 0,00","0,00",0,0
Maio,2026,Google Ads,"R$ 87,90","R$ 0,00","0,00",0,3
Maio,2026,Meta Ads,"R$ 0,00","R$ 0,00","0,00",0,0
