DATA,MODELO,QTDE,Canais,UF,SEGMENTO,VALOR BRUTO,TAXAS,FRETE,Imposto_NF,Custo Variavel Total,Resultado Operacional,NFe (Numero/Serie)
04/01/2024,AHIG0840 - Branco 220V,2,Mercado Livre - Envios,RO,Beleza,"R$ 928,62","R$ 157,86","R$ 46,90","R$ 133,26","R$ 312,04","R$ 278,56",0
04/01/2024,AHIG0840 - Branco 220V,1,Mercado Livre - Envios,DF,Beleza,"R$ 464,31","R$ 78,93","R$ 23,45","R$ 66,63","R$ 156,02","R$ 139,28",0
04/01/2024,AHIG0434 - Preto 127V,1,Mercado Livre - Envios,SP,Beleza,"R$ 464,31","R$ 78,93","R$ 23,45","R$ 66,63","R$ 156,02","R$ 139,28",0
04/01/2024,AHIG0414 - Roxo 220V,1,Mercado Livre - Envios,SP,Beleza,"R$ 464,31","R$ 78,93","R$ 23,45","R$ 66,63","R$ 156,02","R$ 139,28",0
04/01/2024,AHIG0434 - Preto 127V,1,Loja Integrada - PagSeguro,SP,Beleza,"R$ 445,62","R$ 55,32","R$ 16,62","R$ 63,95","R$ 156,02","R$ 153,71",0
04/01/2024,AHIG0435 - Preto 220V,1,Loja Integrada - Pix,SP,Beleza,"R$ 436,88","R$ 4,37","R$ 20,75","R$ 62,69","R$ 156,02","R$ 193,05",0
04/01/2024,AHIG0435 - Preto 220V,2,Loja Integrada - PagSeguro,MG,Beleza,"R$ 921,23","R$ 114,16","R$ 63,23","R$ 132,20","R$ 312,04","R$ 299,60",0
04/01/2024,AHIG0434 - Preto 127V,1,Loja Integrada - PagSeguro,SP,Beleza,"R$ 445,62","R$ 55,32","R$ 16,62","R$ 63,95","R$ 156,02","R$ 153,71",0
04/01/2024,AHIG0435 - Preto 220V,2,Mercado Livre - Envios,GO,Beleza,"R$ 928,60","R$ 106,26","R$ 46,90","R$ 133,25","R$ 312,04","R$ 330,15",0
04/01/2024,AHIG0840 - Branco 220V,1,Mercado Livre - Envios,RS,Beleza,"R$ 469,00","R$ 79,73","R$ 23,45","R$ 67,30","R$ 156,02","R$ 142,50",0
04/01/2024,AHIG0435 - Preto 220V,1,Mercado Livre - Envios,MG,Beleza,"R$ 469,00","R$ 79,73","R$ 23,45","R$ 67,30","R$ 156,02","R$ 142,50",0
04/01/2024,AHIG0434 - Preto 127V,1,Mercado Livre - Envios,SP,Beleza,"R$ 469,00","R$ 79,73","R$ 23,45","R$ 67,30","R$ 156,02","R$ 142,50",0
04/01/2024,AHIG0435 - Preto 220V,1,Loja Integrada - Pix,PI,Beleza,"R$ 483,97","R$ 4,84","R$ 67,84","R$ 69,45","R$ 156,02","R$ 185,82",0
05/01/2024,AHIG0434 - Preto 127V,2,Loja Integrada - Pix,AM,Beleza,"R$ 893,20","R$ 8,93","R$ 60,94","R$ 128,17","R$ 312,04","R$ 383,12",0
05/01/2024,AHIG0434 - Preto 127V,2,Loja Integrada - PagSeguro,MT,Beleza,"R$ 901,13","R$ 111,67","R$ 43,13","R$ 129,31","R$ 312,04","R$ 304,98",0
05/01/2024,AHIG0434 - Preto 127V,1,Mercado Livre - Envios,RJ,Beleza,"R$ 469,00","R$ 79,73","R$ 23,45","R$ 67,30","R$ 156,02","R$ 142,50",0
05/01/2024,AHIG0434 - Preto 127V,1,Mercado Livre - Envios,SP,Beleza,"R$ 469,00","R$ 79,73","R$ 23,45","R$ 67,30","R$ 156,02","R$ 142,50",0
06/01/2024,AHIG0434 - Preto 127V,1,Loja Integrada - PagSeguro,SP,Beleza,"R$ 449,75","R$ 55,84","R$ 20,75","R$ 64,54","R$ 156,02","R$ 152,60",0
06/01/2024,AHIG0434 - Preto 127V,1,Shopee,SP,Beleza,"R$ 469,00","R$ 96,80","R$ 0,00","R$ 67,30","R$ 156,02","R$ 148,88",0
06/01/2024,AHIG0434 - Preto 127V,1,Mercado Livre - Envios,MG,Beleza,"R$ 469,00","R$ 79,73","R$ 23,45","R$ 67,30","R$ 156,02","R$ 142,50",0
07/01/2024,AHIG0435 - Preto 220V,1,Mercado Livre - Envios,PE,Beleza,"R$ 469,00","R$ 79,73","R$ 23,45","R$ 67,30","R$ 156,02","R$ 142,50",0
07/01/2024,AHIG0414 - Roxo 220V,1,Mercado Livre - Envios,PE,Beleza,"R$ 491,43","R$ 79,73","R$ 45,88","R$ 70,52","R$ 156,02","R$ 139,28",0
08/01/2024,AHIG0435 - Preto 220V,1,Mercado Livre - Envios,SC,Beleza,"R$ 469,00","R$ 79,73","R$ 23,45","R$ 67,30","R$ 156,02","R$ 142,50",0
